Claim,dbpedia_iris,wiki_urls,isFood
Zinc contributes to the maintenance of normal testosterone levels in the blood,"['http://dbpedia.org/resource/Normal_distribution', 'http://dbpedia.org/resource/Testosterone']","['http://en.wikipedia.org/wiki/Normal_distribution', 'http://en.wikipedia.org/wiki/Testosterone']",1
Zinc contributes to the maintenance of normal vision,['http://dbpedia.org/resource/Normal_(geometry)'],['http://en.wikipedia.org/wiki/Normal_(geometry)'],0
Zinc contributes to the normal function of the immune system,['http://dbpedia.org/resource/Normal_function'],['http://en.wikipedia.org/wiki/Normal_function'],0
Zinc contributes to the protection of cells from oxidative stress,['http://dbpedia.org/resource/Cell_(biology)'],['http://en.wikipedia.org/wiki/Cell_(biology)'],0
Zinc has a role in the process of cell division,['http://dbpedia.org/resource/Cell_(biology)'],['http://en.wikipedia.org/wiki/Cell_(biology)'],0
Carbohydrates contribute to the recovery of normal muscle function (contraction) after highly intensive and/or long-lasting physical exercise leading to muscle fatigue and the depletion of glycogen stores in skeletal muscle,"['http://dbpedia.org/resource/Carbohydrate', 'http://dbpedia.org/resource/Muscle_contraction', '', 'http://dbpedia.org/resource/Folate_deficiency', 'http://dbpedia.org/resource/Glycogen']","['http://en.wikipedia.org/wiki/Carbohydrate', 'http://en.wikipedia.org/wiki/Muscle_contraction', 'http://en.wikipedia.org/wiki/Exercise', 'http://en.wikipedia.org/wiki/Folate_deficiency', 'http://en.wikipedia.org/wiki/Glycogen']",1
Consumption of foods/drinks containing [name of all used non-digestible carbohydrates] instead of sugars induces a lower blood glucose rise after their consumption compared to sugar-containing foods/drinks,"['http://dbpedia.org/resource/Containment', 'http://dbpedia.org/resource/Carbohydrate', '', 'http://dbpedia.org/resource/Glucose']","['http://en.wikipedia.org/wiki/Containment', 'http://en.wikipedia.org/wiki/Carbohydrate', 'http://en.wikipedia.org/wiki/Blood_sugar_level', 'http://en.wikipedia.org/wiki/Glucose']",1
Consumption of foods/drinks containing [name of all used non-fermentable carbohydrates] instead of fermentable carbohydrates contributes to the maintenance of tooth mineralisation,"['http://dbpedia.org/resource/Containment', 'http://dbpedia.org/resource/Carbohydrate', 'http://dbpedia.org/resource/Tooth']","['http://en.wikipedia.org/wiki/Containment', 'http://en.wikipedia.org/wiki/Carbohydrate', 'http://en.wikipedia.org/wiki/Tooth']",1
Daily creatine consumption can enhance the effect of resistance training on muscle strength in adults over the age of 55,"['http://dbpedia.org/resource/Creatine', 'http://dbpedia.org/resource/Causality', 'http://dbpedia.org/resource/Strength_training', 'http://dbpedia.org/resource/Adult']","['http://en.wikipedia.org/wiki/Creatine', 'http://en.wikipedia.org/wiki/Causality', 'http://en.wikipedia.org/wiki/Strength_training', 'http://en.wikipedia.org/wiki/Adult']",1
Lactitol contributes to normal bowel function by increasing stool frequency,"['http://dbpedia.org/resource/Lactitol', 'http://dbpedia.org/resource/Protein']","['http://en.wikipedia.org/wiki/Lactitol', 'http://en.wikipedia.org/wiki/Protein']",1
Sugar beet fibre contributes to an increase in faecal bulk,"['http://dbpedia.org/resource/Sugar_beet', 'http://dbpedia.org/resource/Feces']","['http://en.wikipedia.org/wiki/Sugar_beet', 'http://en.wikipedia.org/wiki/Feces']",1
Calcium and vitamin D help to reduce the loss of bone mineral in post-menopausal women. Low bone mineral density is a risk factor for osteoporotic bone fractures,"['http://dbpedia.org/resource/Calcium', 'http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Redox', 'http://dbpedia.org/resource/Mineral', 'http://dbpedia.org/resource/Woman', 'http://dbpedia.org/resource/Density']","['http://en.wikipedia.org/wiki/Calcium', 'http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Redox', 'http://en.wikipedia.org/wiki/Mineral', 'http://en.wikipedia.org/wiki/Woman', 'http://en.wikipedia.org/wiki/Density']",1
Calcium helps to reduce the loss of bone mineral in post-menopausal women. Low bone mineral density is a risk factor for osteopootic bone fractures,"['http://dbpedia.org/resource/Calcium', 'http://dbpedia.org/resource/Bone_fracture', 'http://dbpedia.org/resource/Woman', 'http://dbpedia.org/resource/Density']","['http://en.wikipedia.org/wiki/Calcium', 'http://en.wikipedia.org/wiki/Bone_fracture', 'http://en.wikipedia.org/wiki/Woman', 'http://en.wikipedia.org/wiki/Density']",1
Vitamin D helps to reduce the risk of falling associated with postural instability and muscle weakness. Falling is a risk factor for bone fractures among men and women 60 years of age and older,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Risk_factor', 'http://dbpedia.org/resource/Balance_disorder', 'http://dbpedia.org/resource/Factor_analysis', 'http://dbpedia.org/resource/Man', 'http://dbpedia.org/resource/Woman', 'http://dbpedia.org/resource/Old_age']","['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Risk_factor', 'http://en.wikipedia.org/wiki/Balance_disorder', 'http://en.wikipedia.org/wiki/Factor_analysis', 'http://en.wikipedia.org/wiki/Man', 'http://en.wikipedia.org/wiki/Woman', 'http://en.wikipedia.org/wiki/Old_age']",1
Replacing saturated fats with unsaturated fats in the diet has been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development or coronary heart disease,"['http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Redox', 'http://dbpedia.org/resource/Cholesterol', 'http://dbpedia.org/resource/Factor_analysis', 'http://dbpedia.org/resource/Disease']","['http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Redox', 'http://en.wikipedia.org/wiki/Cholesterol', 'http://en.wikipedia.org/wiki/Factor_analysis', 'http://en.wikipedia.org/wiki/Disease']",1
Supplemental folic acid intake increases maternal folate status. Low maternal folate status is a risk factor in the development of neural tube defects in the developing foetus,"['http://dbpedia.org/resource/Acid', 'http://dbpedia.org/resource/Social_status', 'http://dbpedia.org/resource/Embryo', 'http://dbpedia.org/resource/Neural_tube', '']","['http://en.wikipedia.org/wiki/Acid', 'http://en.wikipedia.org/wiki/Social_status', 'http://en.wikipedia.org/wiki/Embryo', 'http://en.wikipedia.org/wiki/Neural_tube', 'http://en.wikipedia.org/wiki/Birth_defect']",1
Barley beta-glucans has been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease,"['http://dbpedia.org/resource/Barley', 'http://dbpedia.org/resource/Redox', 'http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol', 'http://dbpedia.org/resource/Factor_analysis', 'http://dbpedia.org/resource/Disease']","['http://en.wikipedia.org/wiki/Barley', 'http://en.wikipedia.org/wiki/Redox', 'http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol', 'http://en.wikipedia.org/wiki/Factor_analysis', 'http://en.wikipedia.org/wiki/Disease']",1
Chewing gum sweetened with 100% xylitol has been shown to reduce dental plaque. High content/level of dental plaque is a risk factor in the development of caries in children,"['http://dbpedia.org/resource/Chewing_gum', 'http://dbpedia.org/resource/Centenarian', 'http://dbpedia.org/resource/Xylitol', 'http://dbpedia.org/resource/Dentistry', 'http://dbpedia.org/resource/Amplitude', '', 'http://dbpedia.org/resource/Adolescence']","['http://en.wikipedia.org/wiki/Chewing_gum', 'http://en.wikipedia.org/wiki/Centenarian', 'http://en.wikipedia.org/wiki/Xylitol', 'http://en.wikipedia.org/wiki/Dentistry', 'http://en.wikipedia.org/wiki/Amplitude', 'http://en.wikipedia.org/wiki/Tooth_decay', 'http://en.wikipedia.org/wiki/Adolescence']",1
Oat beta-glucan has been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease,"['http://dbpedia.org/resource/Oat', 'http://dbpedia.org/resource/Bradycardia', 'http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol', 'http://dbpedia.org/resource/Factor_analysis', 'http://dbpedia.org/resource/Disease']","['http://en.wikipedia.org/wiki/Oat', 'http://en.wikipedia.org/wiki/Bradycardia', 'http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol', 'http://en.wikipedia.org/wiki/Factor_analysis', 'http://en.wikipedia.org/wiki/Disease']",1
Plant stanol esters have been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease.,"['http://dbpedia.org/resource/Ester', 'http://dbpedia.org/resource/Blood', 'http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol', 'http://dbpedia.org/resource/Factor_analysis', 'http://dbpedia.org/resource/Disease']","['http://en.wikipedia.org/wiki/Ester', 'http://en.wikipedia.org/wiki/Blood', 'http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol', 'http://en.wikipedia.org/wiki/Factor_analysis', 'http://en.wikipedia.org/wiki/Disease']",1
Plant sterols and plant stanol esters have been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease. ,"['http://dbpedia.org/resource/Sterol', 'http://dbpedia.org/resource/Ester', 'http://dbpedia.org/resource/Blood', 'http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol', 'http://dbpedia.org/resource/Factor_analysis', 'http://dbpedia.org/resource/Disease']","['http://en.wikipedia.org/wiki/Sterol', 'http://en.wikipedia.org/wiki/Ester', 'http://en.wikipedia.org/wiki/Blood', 'http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol', 'http://en.wikipedia.org/wiki/Factor_analysis', 'http://en.wikipedia.org/wiki/Disease']",1
Plant sterols have been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease.,"['http://dbpedia.org/resource/Sterol', 'http://dbpedia.org/resource/Blood', 'http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol', 'http://dbpedia.org/resource/Factor_analysis', 'http://dbpedia.org/resource/Disease']","['http://en.wikipedia.org/wiki/Sterol', 'http://en.wikipedia.org/wiki/Blood', 'http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol', 'http://en.wikipedia.org/wiki/Factor_analysis', 'http://en.wikipedia.org/wiki/Disease']",1
Sugar-free chewing gum helps neutralise plaque acids. Plaque acids are a risk factor in the development of dental caries,"['http://dbpedia.org/resource/Chewing_gum', 'http://dbpedia.org/resource/Acid', 'http://dbpedia.org/resource/Dentistry']","['http://en.wikipedia.org/wiki/Chewing_gum', 'http://en.wikipedia.org/wiki/Acid', 'http://en.wikipedia.org/wiki/Dentistry']",1
Sugar-free chewing gum helps reduce tooth demineralisation. Tooth demineralisation is a risk factor in the development of dental caries. ,"['http://dbpedia.org/resource/Chewing_gum', 'http://dbpedia.org/resource/Risk_factor', '']","['http://en.wikipedia.org/wiki/Chewing_gum', 'http://en.wikipedia.org/wiki/Risk_factor', 'http://en.wikipedia.org/wiki/Tooth_decay']",1
Calcium and vitamin D are needed for normal growth and development of bone in children,"['http://dbpedia.org/resource/Calcium', 'http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Embryo', 'http://dbpedia.org/resource/Adolescence']","['http://en.wikipedia.org/wiki/Calcium', 'http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Embryo', 'http://en.wikipedia.org/wiki/Adolescence']",1
Calcium is needed for normal growth and development of bone in children,"['http://dbpedia.org/resource/Calcium', 'http://dbpedia.org/resource/Child']","['http://en.wikipedia.org/wiki/Calcium', 'http://en.wikipedia.org/wiki/Child']",1
Docosahexaenoic acid (DHA) intake contributes to the normal visual development of infants up to 12 months of age,"['http://dbpedia.org/resource/Docosahexaenoic_acid', 'http://dbpedia.org/resource/Acid', 'http://dbpedia.org/resource/Visual_system', 'http://dbpedia.org/resource/Age_of_majority']","['http://en.wikipedia.org/wiki/Docosahexaenoic_acid', 'http://en.wikipedia.org/wiki/Acid', 'http://en.wikipedia.org/wiki/Visual_system', 'http://en.wikipedia.org/wiki/Age_of_majority']",1
Docosahexaenoic acid (DHA) maternal intake contributes to the normal brain development of the foetus and breastfed infants,"['http://dbpedia.org/resource/Docosahexaenoic_acid', 'http://dbpedia.org/resource/Acid', 'http://dbpedia.org/resource/Mother', 'http://dbpedia.org/resource/Brain', 'http://dbpedia.org/resource/Breastfeeding']","['http://en.wikipedia.org/wiki/Docosahexaenoic_acid', 'http://en.wikipedia.org/wiki/Acid', 'http://en.wikipedia.org/wiki/Mother', 'http://en.wikipedia.org/wiki/Brain', 'http://en.wikipedia.org/wiki/Breastfeeding']",1
Docosahexaenoic acid (DHA) materrnal intake contributes to the normal development of the eye of the foetus and breastfed infants,"['http://dbpedia.org/resource/Docosahexaenoic_acid', 'http://dbpedia.org/resource/Acid', 'http://dbpedia.org/resource/Embryo', 'http://dbpedia.org/resource/Breastfeeding']","['http://en.wikipedia.org/wiki/Docosahexaenoic_acid', 'http://en.wikipedia.org/wiki/Acid', 'http://en.wikipedia.org/wiki/Embryo', 'http://en.wikipedia.org/wiki/Breastfeeding']",1
Essential fatty acids are needed for normal growth and development of children,"['http://dbpedia.org/resource/Essential_fatty_acid', 'http://dbpedia.org/resource/Fatty_acid', 'http://dbpedia.org/resource/Acid', 'http://dbpedia.org/resource/Child_development', 'http://dbpedia.org/resource/Adolescence']","['http://en.wikipedia.org/wiki/Essential_fatty_acid', 'http://en.wikipedia.org/wiki/Fatty_acid', 'http://en.wikipedia.org/wiki/Acid', 'http://en.wikipedia.org/wiki/Child_development', 'http://en.wikipedia.org/wiki/Adolescence']",1
Iodine contributes to the normal grrowth of children,"['http://dbpedia.org/resource/Iodine', 'http://dbpedia.org/resource/Adolescence']","['http://en.wikipedia.org/wiki/Iodine', 'http://en.wikipedia.org/wiki/Adolescence']",1
Iron contributes to normal cognitive development of children,"['http://dbpedia.org/resource/Cognitive_development', 'http://dbpedia.org/resource/Adolescence']","['http://en.wikipedia.org/wiki/Cognitive_development', 'http://en.wikipedia.org/wiki/Adolescence']",1
Phosphorus is needed for the normal growth and development of bone in children,['http://dbpedia.org/resource/Bone'],['http://en.wikipedia.org/wiki/Bone'],0
Protein is needed for normal growth and development of bone in children,['http://dbpedia.org/resource/Bone'],['http://en.wikipedia.org/wiki/Bone'],0
Vitamin D contributes to the normal function of the immune system in children,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Normal_function', 'http://dbpedia.org/resource/Adolescence']","['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Normal_function', 'http://en.wikipedia.org/wiki/Adolescence']",1
Vitamin D is needed for normal growth and development of bone in children,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Bone', 'http://dbpedia.org/resource/Adolescence']","['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Bone', 'http://en.wikipedia.org/wiki/Adolescence']",1
